,Title,Genre,Year,Metascore,Userscore,Director,Duration
678,Before the Devil Knows You're Dead,Drama,2007,85,8.3,Sidney Lumet,117
680,What Do We See When We Look at the Sky?,Drama,2021,85,7.0,Aleksandre Koberidze,150
681,Get Out,Mystery,2017,85,7.5,Jordan Peele,104
682,About Schmidt,Drama,2002,85,7.6,Alexander Payne,125
684,The Silence of the Lambs,Thriller,1991,85,8.8,Jonathan Demme,118
686,Hero,Action,2004,85,8.8,Yimou Zhang,99
687,"Hale County This Morning, This Evening",Documentary,2018,85,6.0,RaMell Ross,76
688,Neil Young: Heart of Gold,Music,2006,85,8.5,Jonathan Demme,103
689,Passing,Drama,2021,85,6.7,Rebecca Hall,98
690,Mudbound,Drama,2017,85,6.7,Dee Rees,134
691,My Life as a Zucchini,Drama,2017,85,8.3,Claude Barras,70
692,In the Same Breath,Documentary,2021,85,4.6,Nanfu Wang,95
693,Atlantis,Sci-Fi,2021,85,6.8,Valentyn Vasyanovych,108
694,Honeyland,Drama,2019,85,8.6,Ljubomir Stefanov and Tamara Kotevska,90
695,Hedwig and the Angry Inch,Drama,2001,85,8.4,John Cameron Mitchell,95
696,The Last Seduction,Drama,1994,85,8.1,John Dahl,110
697,God's Own Country,Drama,2017,85,8.3,Francis Lee,104
698,Kaili Blues,Drama,2016,85,7.3,Gan Bi,113
699,Unforgiven,Drama,1992,85,8.4,Clint Eastwood,131
700,The Intruder,Drama,2005,85,4.9,Claire Denis,130
701,Mulholland Dr.,Drama,2001,85,7.0,David Lynch,147
702,Forbidden Lie$,Drama,2009,85,8.0,Anna Broinowski,104
703,Behemoth,Documentary,2017,85,5.7,Zhao Liang,95
704,The Sun,Drama,2009,85,6.8,Aleksandr Sokurov,115
705,The Past,Drama,2013,85,8.3,Asghar Farhadi,130
706,Cinderella,Fantasy,1950,85,7.6,Clyde Geronimi and Hamilton Luske and Wilfred Jackson,74
707,One Child Nation,History,2019,85,6.7,Nanfu Wang and Zhang Lynn,88
708,24 Hour Party People,Biography,2002,85,8.3,Michael Winterbottom,117
710,Identifying Features,Drama,2021,85,7.1,Fernanda Valadez,95
712,Atonement,Drama,2007,85,7.8,Joe Wright,123
713,The Tree of Life,Drama,2011,85,7.0,Terrence Malick,139
714,Alexandra,Drama,2008,85,7.3,Aleksandr Sokurov,95
715,Naked,Drama,1993,85,8.4,Mike Leigh,131
716,The Host,Sci-Fi,2007,85,6.9,Joon-ho Bong,119
717,The Departure,Documentary,2017,85,8.5,Lana Wilson,87
719,Restrepo,War,2010,85,7.5,Sebastian Junger and Tim Hetherington,93
720,Summer Hours,Drama,2009,85,7.1,Olivier Assayas,103
721,Grisbi (re-release),Action,2003,85,8.2,Jacques Becker,94
722,Out of Sight,Thriller,1998,85,8.4,Steven Soderbergh,123
723,Women on the Verge of a Nervous Breakdown,Drama,1988,85,8.0,Pedro Almodóvar,90
724,Support the Girls,Comedy,2018,85,6.7,Andrew Bujalski,90
725,The Iron Giant,Action,1999,85,8.7,Brad Bird,86
726,Won't You Be My Neighbor?,Biography,2018,85,8.5,Morgan Neville,94
727,Passing Strange,Musical,2009,85,7.3,Spike Lee,135
728,Meek's Cutoff,Western,2011,85,6.2,Kelly Reichardt,104
729,Three Colors: Blue,Drama,1993,85,8.6,Krzysztof Kieslowski,98
730,The Long Day Closes,Biography,1993,85,6.3,Terence Davies,85
731,Carrie,Horror,1976,85,8.1,Brian De Palma,98
734,Since Otar Left,Drama,2004,85,7.7,Julie Bertucelli,103
735,The Circle,Drama,2001,85,6.1,Jafar Panahi,90
736,Sound and Fury,Documentary,2000,85,7.0,Josh Aronson,80
737,Paragraph 175,History,2000,85,7.8,Jeffrey Friedman and Rob Epstein,81
738,Atlantic City,Drama,1981,85,7.0,Louis Malle,104
739,Slumdog Millionaire,Drama,2008,84,7.8,Danny Boyle and Loveleen Tandan,120
740,Black Is King,Music,2020,84,8.7,Beyoncé Knowles,85
741,Holy Motors,Sci-Fi,2012,84,7.5,Leos Carax,115
742,The Work,Documentary,2017,84,7.5,Gethin Aldous and Jairus McLeary,89
743,Sling Blade,Drama,1996,84,8.4,Billy Bob Thornton,135
744,The Truffle Hunters,Documentary,2021,84,7.1,Gregory Kershaw and Michael Dweck,84
745,A Christmas Tale,Drama,2008,84,6.9,Arnaud Desplechin,150
746,Giant,Drama,1956,84,6.9,George Stevens,201
747,Brazil,Sci-Fi,1985,84,8.6,Terry Gilliam,132
748,In the Shadow of the Moon,Documentary,2007,84,7.5,David Sington,109
749,The Big Risk,Drama,2005,84,7.3,Claude Sautet,103
751,76 Days,Drama,2020,84,7.3,Hao Wu and Weixi Chen,93
752,Children of Men,Adventure,2006,84,8.5,Alfonso Cuarón,109
753,Broadcast News,Drama,1987,84,7.5,James L. Brooks,133
754,Revanche,Drama,2009,84,8.1,Götz Spielmann,121
755,The Man Without a Past,Drama,2003,84,7.6,Aki Kaurismäki,97
756,American Movie,Documentary,1999,84,8.2,Chris Smith,107
757,After the Storm,Drama,2017,84,8.0,Hirokazu Koreeda,117
758,Moonrise Kingdom,Drama,2012,84,8.1,Wes Anderson,94
761,Calle 54,Music,2000,84,4.0,Fernando Trueba,105
762,Up the Yangtze,Documentary,2008,84,7.7,Yung Chang,93
764,McQueen,Biography,2018,84,7.7,Ian Bonhôte and Peter Ettedgui,111
765,In the Heights,Drama,2021,84,6.9,Jon M. Chu,143
766,The Black Stallion,Adventure,1979,84,8.4,Carroll Ballard,118
767,Booksmart,Comedy,2019,84,4.8,Olivia Wilde,102
769,Writing with Fire,Documentary,2021,84,6.8,Rintu Thomas and Sushmit Ghosh,93
770,Ascension,Documentary,2021,84,5.9,Jessica Kingdon,97
771,The Handmaiden,Drama,2016,84,8.6,Chan-wook Park,144
772,Lantana,Drama,2001,84,8.3,Ray Lawrence,121
774,Séraphine,Biography,2009,84,7.7,Martin Provost,125
776,A Serious Man,Drama,2009,84,6.8,Ethan Coen and Joel Coen,106
777,The Joy Luck Club,Drama,1993,84,8.1,Wayne Wang,139
778,Withnail & I,Drama,1987,84,6.2,Bruce Robinson,107
779,The Postman Always Rings Twice,Drama,1946,84,8.4,Tay Garnett,113
780,American Beauty,Drama,1999,84,8.8,Sam Mendes,122
781,Beanpole,Drama,2020,84,6.5,Kantemir Balagov,137
782,Harmonium,Drama,2017,84,7.7,Kôji Fukada,120
783,Blade Runner,Action,1982,84,8.7,Ridley Scott,117
784,Kagemusha,Drama,1980,84,6.5,Akira Kurosawa,180
785,Heart of a Dog,Documentary,2015,84,5.8,Laurie Anderson,75
786,Distant,Drama,2004,84,8.4,Nuri Bilge Ceylan,110
787,Far From Heaven,Drama,2002,84,8.0,Todd Haynes,107
788,Lagaan: Once Upon a Time in India,Drama,2002,84,8.3,Ashutosh Gowariker,224
789,No Man's Land,Drama,2001,84,8.0,Danis Tanovic,98
790,Prizzi's Honor,Drama,1985,84,6.3,John Huston,130
791,All the President's Men,Biography,1976,84,8.2,Alan J. Pakula,138
793,Aferim!,Adventure,2016,84,7.7,Radu Jude,108
794,War Witch,Drama,2013,84,7.5,Kim Nguyen,90
795,2001: A Space Odyssey,Adventure,1968,84,8.2,Stanley Kubrick,141
796,Toy Story 4,Adventure,2019,84,7.9,Josh Cooley,100
797,Darwin's Nightmare,Documentary,2005,84,7.5,Hubert Sauper,107
798,Aliens,Action,1986,84,9.0,James Cameron,137
799,My Winnipeg,Drama,2008,84,7.1,Guy Maddin,80
800,On the Record,Documentary,2020,84,8.3,Amy Ziering and Kirby Dick,95
801,In My Room,Sci-Fi,2019,84,6.3,Ulrich Köhler,119
802,Mystic River,Drama,2003,84,7.1,Clint Eastwood,138
804,"Oslo, August 31st",Drama,2012,84,7.7,Joachim Trier,95
806,Looper,Action,2012,84,8.2,Rian Johnson,119
807,Graduation,Drama,2017,84,7.3,Cristian Mungiu,128
808,Kubo and the Two Strings,Adventure,2016,84,8.1,Travis Knight,101
809,The Other Side of Hope,Drama,2017,84,6.9,Aki Kaurismäki,100
810,The Vast of Night,Sci-Fi,2020,84,6.6,Andrew Patterson,91
811,Momma's Man,Drama,2008,84,5.0,Azazel Jacobs,94
812,Old Joy,Drama,2006,84,6.1,Kelly Reichardt,76
813,Kings & Queen,Drama,2005,84,8.0,Arnaud Desplechin,150
814,You Were Never Really Here,Drama,2018,84,7.3,Lynne Ramsay,89
815,In the Name of the Father,Biography,1993,84,8.2,Jim Sheridan,133
816,Ballast,Drama,2008,84,7.8,Lance Hammer,96
817,Volver,Drama,2006,84,8.4,Pedro Almodóvar,121
818,The Square,Drama,2013,84,7.9,Jehane Noujaim,95
819,Widows,Drama,2018,84,6.9,Steve McQueen,129
820,Love After Love,Drama,2018,84,5.7,Russell Harbaugh,91
821,Caché (Hidden),Drama,2005,84,6.6,Michael Haneke,117
822,Synonyms,Drama,2019,84,5.8,Nadav Lapid,123
823,The Dark Knight,Action,2008,84,8.9,Christopher Nolan,152
824,A Ghost Story,Drama,2017,84,7.1,David Lowery,92
828,Museum Hours,Drama,2013,84,6.8,Jem Cohen,107
829,Evangelion: 3.0+1.0 Thrice Upon a Time,Action,2021,84,7.5,Hideaki Anno and Katsuichi Nakayama and Kazuya Tsurumaki and Mahiro Maeda,154
831,The Bad News Bears,Drama,1976,84,8.3,Michael Ritchie,102
832,The Insider,Biography,1999,84,8.4,Michael Mann,157
833,The Descendants,Drama,2011,84,7.7,Alexander Payne,115
834,First Man,Biography,2018,84,7.4,Damien Chazelle,141
835,The Terminator,Action,1984,84,7.6,James Cameron,107
836,Cat on a Hot Tin Roof,Drama,1958,84,7.6,Richard Brooks,108
837,Snowpiercer,Action,2014,84,7.2,Joon-ho Bong,126
838,Happy-Go-Lucky,Drama,2008,84,8.0,Mike Leigh,118
839,Lassie,Adventure,2006,84,7.1,Charles Sturridge,100
840,Shrek,Adventure,2001,84,8.8,Andrew Adamson and Vicky Jenson,90
842,Victor Victoria,Comedy,1982,84,7.5,Blake Edwards,134
844,The Fallout,Drama,2022,84,7.0,Megan Park,92
845,The Quiet American,Drama,2002,84,8.8,Phillip Noyce,101
846,The Pinochet Case,Documentary,2002,84,8.1,Patricio Guzmán,110
847,The Day I Became a Woman,Drama,2001,84,6.2,Marzieh Makhmalbaf,78
848,Sense and Sensibility,Drama,1995,84,8.3,Ang Lee,136
849,Weiner,Documentary,2016,84,7.3,Elyse Steinberg and Josh Kriegman,96
850,Stalag 17,Drama,1953,84,7.8,Billy Wilder,120
851,Iraq in Fragments,War,2006,84,6.7,James Longley,94
852,The Cove,Drama,2009,84,8.2,Louie Psihoyos,92
853,Rocco and His Brothers (re-release),Drama,2002,84,7.6,Luchino Visconti,177
854,Mutual Appreciation,Comedy,2006,84,6.1,Andrew Bujalski,110
855,Boys State,Documentary,2020,84,7.9,Amanda McBaine and Jesse Moss,105
857,Stray Dogs,Drama,2014,84,6.3,Ming-liang Tsai,138
858,The Rescue,Drama,2021,84,8.1,Elizabeth Chai Vasarhelyi and Jimmy Chin,107
859,One Flew Over the Cuckoo's Nest,Drama,1975,84,8.7,Milos Forman,133
