,Title,Genre,Year,Metascore,Userscore,Director,Duration
1007,Sweeney Todd: The Demon Barber of Fleet Street,Drama,2007,83,7.7,Tim Burton,116
1008,Charade,Mystery,1963,83,8.1,Stanley Donen,113
1009,Blood Simple,Drama,1985,83,8.1,Ethan Coen and Joel Coen,99
1010,Court,Drama,2015,83,8.4,Chaitanya Tamhane,116
1011,Waking Life,Drama,2001,83,8.0,Richard Linklater,99
1012,"20,000 Days on Earth",Drama,2014,83,6.6,Iain Forsyth and Jane Pollard,97
1013,The Woman Who Left,Drama,2017,83,6.5,Lav Diaz,226
1014,Election,Drama,1999,83,8.7,Alexander Payne,103
1015,Creed,Drama,2015,82,8.0,Ryan Coogler,133
1017,Local Hero,Drama,1983,82,7.3,Bill Forsyth,111
1018,Monsieur Lazhar,Drama,2012,82,7.7,Philippe Falardeau,94
1019,Glengarry Glen Ross,Drama,1992,82,8.1,James Foley,100
1020,Gigi,Comedy,1958,82,6.9,Vincente Minnelli,115
1021,Transit,Drama,2019,82,6.6,Christian Petzold,101
1023,Venus,Drama,2006,82,7.1,Roger Michell,95
1024,Toni Morrison: The Pieces I Am,Documentary,2019,82,7.5,Timothy Greenfield-Sanders,120
1025,Diner,Drama,1982,82,8.4,Barry Levinson,110
1026,The Killing of Two Lovers,Drama,2021,82,6.8,Robert Machoian,85
1027,Night of the Kings,Drama,2021,82,4.6,Philippe Lacôte,93
1029,The Second Mother,Drama,2015,82,8.3,Anna Muylaert,112
1030,These Birds Walk,Drama,2013,82,7.8,Bassam Tariq and Omar Mullick,71
1031,Rivers and Tides: Andy Goldsworthy Working with Time,Documentary,2002,82,7.6,Thomas Riedelsheimer,90
1032,Ajami,Drama,2010,82,8.1,Scandar Copti and Yaron Shani,120
1035,127 Hours,Adventure,2010,82,8.1,Danny Boyle,94
1036,Relaxer,Fantasy,2019,82,6.5,Joel Potrykus,91
1037,Tell No One,Drama,2008,82,7.5,Guillaume Canet,131
1038,The Illusionist,Animation,2010,82,7.5,Sylvain Chomet,80
1039,The Deep Blue Sea,Drama,2012,82,6.4,Terence Davies,98
1040,The End of the Tour,Drama,2015,82,7.5,James Ponsoldt,106
1041,Memories of Murder,Drama,2005,82,8.4,Joon-ho Bong,132
1042,Enron: The Smartest Guys in the Room,Documentary,2005,82,8.2,Alex Gibney,109
1044,Vortex,Drama,2022,82,6.5,Gaspar Noé,140
1045,Forrest Gump,Drama,1994,82,7.8,Robert Zemeckis,142
1049,"Good Bye, Dragon Inn",Drama,2004,82,5.9,Ming-liang Tsai,82
1050,Safe Conduct,Biography,2002,82,6.2,Bertrand Tavernier,170
1051,Leaving Las Vegas,Drama,1995,82,8.5,Mike Figgis,111
1052,Maiden,Sport,2019,82,8.2,Alex Holmes,97
1053,War for the Planet of the Apes,Action,2017,82,8.0,Matt Reeves,140
1054,Duma,Adventure,2005,82,8.4,Carroll Ballard,100
1055,We the Animals,Drama,2018,82,6.5,Jeremiah Zagar,94
1056,The Constant Gardener,Drama,2005,82,7.0,Fernando Meirelles,129
1057,Short Term 12,Drama,2013,82,8.4,Destin Cretton,96
1058,Parenthood,Drama,1989,82,8.3,Ron Howard,124
1059,Two of Us,Drama,2021,82,5.7,Filippo Meneghetti,99
1060,Street Gang: How We Got to Sesame Street,History,2021,82,7.6,Marilyn Agrelo,107
1061,Residue,Drama,2020,82,4.5,Merawi Gerima,90
1062,House of Hummingbird,Drama,2020,82,7.1,Bora Kim,138
1063,Star Wars: Episode V - The Empire Strikes Back,Action,1980,82,9.1,Irvin Kershner,124
1065,Sugar,Drama,2009,82,7.9,Anna Boden and Ryan Fleck,120
1066,Marwencol,Documentary,2010,82,7.8,Jeff Malmberg,83
1067,The Wind That Shakes the Barley,Drama,2007,82,7.9,Ken Loach,127
1068,Lilya 4-Ever,Drama,2003,82,8.1,Lukas Moodysson,109
1069,To Catch a Thief,Mystery,1955,82,6.8,Alfred Hitchcock,106
1070,The Lobster,Sci-Fi,2016,82,7.1,Giorgos Lanthimos,119
1071,The Nightmare Before Christmas,Fantasy,1993,82,8.4,Henry Selick,76
1072,Pride & Prejudice,Drama,2005,82,8.6,Joe Wright,127
1073,The Squid and the Whale,Drama,2005,82,7.4,Noah Baumbach,81
1074,Winged Migration,Documentary,2003,82,8.2,Jacques Cluzaud and Jacques Perrin and Michel Debats,89
1076,School of Rock,Comedy,2003,82,8.3,Richard Linklater,108
1077,Life and Nothing More,Drama,2018,82,8.2,Antonio Méndez Esparza,114
1078,Star Trek,Action,2009,82,7.9,J.J. Abrams,127
1080,A Quiet Place,Sci-Fi,2018,82,7.0,John Krasinski,90
1083,Frances Ha,Drama,2013,82,7.8,Noah Baumbach,86
1084,The Namesake,Drama,2007,82,7.9,Mira Nair,122
1085,C'mon C'mon,Drama,2021,82,7.1,Mike Mills,108
1086,A Hijacking,Drama,2013,82,7.2,Tobias Lindholm,103
1087,In the Family,Drama,2012,82,6.6,Patrick Wang,169
1088,Hunger,Drama,2008,82,7.7,Steve McQueen,96
1089,Cold Comfort Farm,Comedy,1996,82,7.9,John Schlesinger,95
1091,Dear Zachary: A Letter to a Son About His Father,Biography,2008,82,8.4,Kurt Kuenne,95
1092,Anvil! The Story of Anvil,Biography,2009,82,8.3,Sacha Gervasi,80
1093,The Trip,Comedy,2011,82,6.5,Michael Winterbottom,109
1094,Harry Potter and the Prisoner of Azkaban,Adventure,2004,82,8.3,Alfonso Cuarón,141
1096,Michael Clayton,Drama,2007,82,7.6,Tony Gilroy,119
1097,Downfall,Biography,2005,82,8.6,Oliver Hirschbiegel,156
1098,Knives Out,Drama,2019,82,7.7,Rian Johnson,131
1099,The Spectacular Now,Drama,2013,82,7.9,James Ponsoldt,95
1101,Face/Off,Action,1997,82,8.8,John Woo,138
1103,Sator,Horror,2021,82,6.3,Jordan Graham,85
1104,Let the Right One In,Drama,2008,82,8.6,Tomas Alfredson,115
1105,Rams,Drama,2016,82,7.6,Grímur Hákonarson,93
1106,Paris Is Burning,Documentary,1991,82,7.4,Jennie Livingston,71
1107,Certified Copy,Drama,2011,82,7.8,Abbas Kiarostami,106
1110,The Celebration,Drama,1998,82,8.1,Thomas Vinterberg,105
1111,Broadway Danny Rose,Comedy,1984,82,7.1,Woody Allen,84
1112,Taxi to the Dark Side,Crime,2008,82,7.1,Alex Gibney,106
1114,Repo Man,Action,1984,82,8.0,Alex Cox,92
1115,Pig,Drama,2021,82,7.2,Michael Sarnoski,92
1116,Give Me Liberty,Comedy,2019,82,7.6,Kirill Mikhanovsky,110
1117,The Love Witch,Drama,2016,82,6.0,Anna Biller,120
1118,Marjorie Prime,Sci-Fi,2017,82,7.3,Michael Almereyda,99
1119,Sorry We Missed You,Drama,2020,82,8.0,Ken Loach,101
1121,Down and Out in Beverly Hills,Comedy,1986,82,7.7,Paul Mazursky,103
1122,Steve Jobs,Biography,2015,82,7.1,Danny Boyle,122
1123,Marley,Biography,2012,82,8.0,Kevin Macdonald,144
1124,The White Ribbon,Drama,2009,82,7.9,Michael Haneke,144
